rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"matchList(subtype,{802,803,804,838,839,848,900,901,991,992,993,994,995, 810,811,812,813,815,816,840,841,842,843,844,845,846,847,849,851, 801,821,822,823,824,830,831,832,835})",NA,Translate only rows where subtype value is an NFL type,TRUE
1,CAS_ID,text,notEmpty(inventory_id);notEmpty(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','x','x'}, '-', TRUE, TRUE)",Create cas_id using the unique identifier poly_id added during loading.,TRUE
2,SOIL_MOIST_REG,text,"notNull(soil_moist_reg);notEmpty(soil_moist_reg);notMatchList(soil_moist_reg, 0|NULL_VALUE);matchList(soil_moist_reg,{1,2,3,4})","mapText(soil_moist_reg, {1,2,3,4}, {'DRY','DRY','MOIST','WET'})",Maps source value to SOIL_MOIST_REG using lists of values. Catch zero as a null value.,TRUE
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,TRUE
4,LAYER,integer,true(),"ifElseCountofNotNullInt({species}, 1, 0, 1, 2)","NFL layer is always 1, unless a species exists, then it must be layer 2",TRUE
5,LAYER_RANK,integer,false(),nothingInt(),Attribute does not occur,TRUE
6,CROWN_CLOSURE_UPPER,integer,false(),nothingInt(),Attribute does not occur,TRUE
7,CROWN_CLOSURE_LOWER,integer,false(),nothingInt(),Attribute does not occur,TRUE
8,HEIGHT_UPPER,double precision,false(),nothingDouble(),Attribute does not occur,TRUE
9,HEIGHT_LOWER,double precision,false(),nothingDouble(),Attribute does not occur,TRUE
10,NAT_NON_VEG,text,"notNull(subtype);matchList(subtype,{802,803,804,838,839,848,900,901,991,992,993,994,995}|NOT_APPLICABLE)","mapText(subtype, {802,803,804,838,839,848,900,901,991,992,993,994,995}, {'ROCK_RUBBLE','ROCK_RUBBLE','EXPOSED_LAND','SAND','BEACH','FLOOD','LAKE','RIVER','LAKE','LAKE','LAKE','RIVER','RIVER'})",Maps source value to NAT_NON_VEG using list of values.,TRUE
11,NON_FOR_ANTH,text,"notNull(subtype);notMatchList(subtype,{840}|UNKNOWN_VALUE);matchList(subtype,{810,811,812,813,815,816,841,842,843,844,845,846,847,849,851}|NOT_APPLICABLE)","mapText(subtype, {810,811,812,813,815,816,841,842,843,844,845,846,847,849,851}, {'CULTIVATED','CULTIVATED','CULTIVATED','CULTIVATED','CULTIVATED','CULTIVATED','SETTLEMENT','FACILITY_INFRASTRUCTURE','FACILITY_INFRASTRUCTURE','FACILITY_INFRASTRUCTURE','INDUSTRIAL','CULTIVATED','FACILITY_INFRASTRUCTURE','BORROW_PIT','FACILITY_INFRASTRUCTURE'})",Maps source value to NON_FOR_ANTH using list of values. Catches values 840 as UNKNOWN_VALUE. 840 is listed in the manual as a possible value but no specific land use is assigned.,TRUE
12,NON_FOR_VEG,text,"notNull(subtype);matchList(subtype,{801,821,822,823,824,830,831,832,835}|NOT_APPLICABLE)","mapText(subtype,{801,821,822,823,824,830,831,832,835}, {'TUNDRA','GRAMINOIDS','GRAMINOIDS','GRAMINOIDS','GRAMINOIDS','OPEN_MUSKEG','OPEN_MUSKEG','OPEN_MUSKEG','GRAMINOIDS'})",Maps source value to NON_FOR_VEG using list of values.,TRUE
