rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"yvi03_hasNFL(type_lnd, cover_type, cl_mod, landpos)",NA,Translate only rows producing an NFL value. Concatenated values are separated with a dash hear to make them more readable. Combinations of values match those in the nfl validations below., TRUE
1,CAS_ID,text,notEmpty(inventory_id);notEmpty(src_filename);notNull(orig_stand_id);notNull(poly_id),"padConcat({inventory_id, src_filename, '', orig_stand_id, poly_id}, {4,15,10,10,7}, {'x','x','x','x','x'}, '-', TRUE, TRUE)",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,"yvi03_nfl_soil_moisture_validation(type_lnd, class, cl_mod, landpos,cover_type|UNKNOWN_VALUE);notNull(soil_moist_reg);notEmpty(soil_moist_reg);matchList(soil_moist_reg,{'Aquatic','Dry','Mesic','Wet'})","mapText(soil_moist_reg, {'Aquatic','Dry','Mesic','Wet'}, {'AQUATIC','DRY','MESIC','WET'})",Validation: only want to translate soil moisture in NFL table if the row is either non_for_veg or has a nat_non_veg value of EXPOSED_LAND (burned or exposed land).,TRUE
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,TRUE
4,LAYER,integer,true(),copyInt(1),Only one layer,TRUE
5,LAYER_RANK,integer,false(),nothingInt(),Attribute does not occur,TRUE
6,CROWN_CLOSURE_UPPER,integer,false(),nothingInt(),Attribute does not occur,TRUE
7,CROWN_CLOSURE_LOWER,integer,false(),nothingInt(),Attribute does not occur,TRUE
8,HEIGHT_UPPER,double precision,false(),nothingDouble(),Attribute does not occur,TRUE
9,HEIGHT_LOWER,double precision,false(),nothingDouble(),Attribute does not occur,TRUE
10,NAT_NON_VEG,text,"notNull(type_lnd|NOT_APPLICABLE);notEmpty(type_lnd|NOT_APPLICABLE);matchList(type_lnd, {'Non-Vegetated, Water', 'Non-Vegetated, Snow/Ice', 'Non-Vegetated, Exposed Land'}|NOT_APPLICABLE);yvi03_nat_non_veg_validation(type_lnd, class, landpos, cover_type)","yvi03_nat_non_veg_translation(type_lnd, class, landpos, cover_type)","Checks type_lnd is not empty and is in 'Non-Vegetated, Water', 'Non-Vegetated, Snow/Ice', 'Non-Vegetated, Exposed Land. Then checks either landpos is 'Alpine', or class is in 'River','Lake' or cover_type is in 'River Sediments','Exposed Soil','Burned Area','Rock & Rubble'. Translation converts landpos Alpine to ALPINE, and'River','Lake', 'River Sediments','Exposed Soil','Burned Area','Rock & Rubble' to 'RIVER','LAKE','WATER_SEDIMENT','EXPOSED_LAND','EXPOSED_LAND','ROCK_RUBBLE'.",TRUE
11,NON_FOR_ANTH,text,"notNull(type_lnd|NOT_APPLICABLE);notEmpty(type_lnd|NOT_APPLICABLE);matchList(type_lnd, {'Non-Vegetated, Urban/Industrial'}|NOT_APPLICABLE);matchList(cover_type, {'Road Surface', 'Gravel Pit', 'Tailings'})","mapText(class, {'Road Surface', 'Gravel Pit', 'Tailings'}, {'OTHER','OTHER','OTHER'})","Checks type_lnd is not empty. Checks type_lnd is 'Non-Vegetated, Urban/Industrial', and class is 'Road Surface', 'Gravel Pit', 'Tailings'. Maps  'Road Surface', 'Gravel Pit', 'Tailings' to OTHER.",TRUE
12,NON_FOR_VEG,text,"notNull(type_lnd|NOT_APPLICABLE);notEmpty(type_lnd|NOT_APPLICABLE);matchList(type_lnd, {'Vegetated, Non-Forested'}|NOT_APPLICABLE);matchList(class, {'Tall Shrub', 'Low Shrub', 'Tall Shrub, Open', 'Tall Shrub, Closed'})","yvi03_non_for_veg_translation(type_lnd, cl_mod)","Checks type_lnd is not empty. Checks type_lnd is 'Vegetated, Non-Forested', and cl_mod is one of 'Tall Shrub', 'Tall Shrub, Open', 'Tall Shrub, Closed', 'Low Shrub'. Converts cl_mod of 'Tall Shrub', 'Tall Shrub, Open', 'Tall Shrub, Closed', 'Low Shrub' to TALL_SHRUB, TALL_SHRUB, TALL_SHRUB, LOW_SHRUB. ",TRUE
