source_val,num_of_species,species_1,species_per_1,species_2,species_per_2,species_3,species_per_3
BBPES,3,BETU_PAP_###,51,ABIE_PIC_###,25,POPU_SPP_###,24
BBPG,2,BETU_PAP_###,65,PINU_BAN_###,35,,
BBPIB,2,BETU_PAP_###,65,PINU_STR_###,35,,
BBPIG,2,BETU_PAP_###,65,PINU_BAN_###,35,,
BBPIR,2,BETU_PAP_###,65,PINU_RES_###,35,,
BBR,2,BETU_PAP_###,65,GENC_SPP_###,35,,
BBRES,2,BETU_PAP_###,65,GENC_SPP_###,35,,
BBS,2,BETU_PAP_###,65,ABIE_PIC_###,35,,
BJ,1,BETU_ALL_###,100,,,,
BJ+C,2,BETU_ALL_###,65,THUJ_OCC_###,35,,
BJ+PB,2,BETU_ALL_###,65,PINU_SPP_###,35,,
BJ+PU,2,BETU_ALL_###,65,TSUG_CAN_###,35,,
BJ+R,2,BETU_ALL_###,65,GENC_SPP_###,35,,
BJBOJ,1,BETU_ALL_###,100,,,,
BJ-C,3,BETU_ALL_###,51,THUJ_OCC_###,25,GENH_SPP_###,24
BJ-PB,3,BETU_ALL_###,51,PINU_SPP_###,25,GENH_SPP_###,24
BJ-PU,3,BETU_ALL_###,51,TSUG_CAN_###,25,GENH_SPP_###,24
BJ-R,3,BETU_ALL_###,51,GENC_SPP_###,25,GENH_SPP_###,24
BOJ,1,BETU_ALL_###,100,,,,
BOJCHR,2,BETU_ALL_###,65,QUER_RUB_###,35,,
BOJEPH,2,BETU_ALL_###,65,PICE_RUB_###,35,,
BOJEPL,2,BETU_ALL_###,65,PICE_GLA_###,35,,
BOJEPN,2,BETU_ALL_###,65,PICE_MAR_###,35,,
BOJF,2,BETU_ALL_###,65,GENH_SPP_###,35,,
BOJPIB,2,BETU_ALL_###,65,PINU_STR_###,35,,
CBJ-,2,THUJ_OCC_###,65,BETU_ALL_###,35,,
CBJ+,2,THUJ_OCC_###,75,BETU_ALL_###,25,,
CC,1,THUJ_SPP_###,100,,,,
CE,2,THUJ_OCC_###,65,PICE_SPP_###,35,,
CHR,1,QUER_RUB_###,100,,,,
CHRBOJ,2,QUER_RUB_###,65,BETU_ALL_###,35,,
CHREPL,2,QUER_RUB_###,65,PICE_GLA_###,35,,
CHRPIR,2,QUER_RUB_###,65,PINU_RES_###,35,,
CME,2,THUJ_OCC_###,65,LARI_LAR_###,35,,
CPB,2,THUJ_OCC_###,65,PINU_SPP_###,35,,
CPU,2,THUJ_OCC_###,65,TSUG_CAN_###,35,,
CS,2,THUJ_OCC_###,65,ABIE_PIC_###,35,,
EB,1,PICE_GLA_###,100,,,,
EBB,2,PICE_SPP_###,65,BETU_PAP_###,35,,
EC,2,PICE_SPP_###,65,TSUG_CAN_###,35,,
EE,1,PICE_SPP_###,100,,,,
EEPN,2,PICE_SPP_###,65,PICE_MAR_###,35,,
EFI,2,PICE_SPP_###,65,HARD_INT_###,35,,
EG,2,PICE_MAR_###,65,PICE_GLA_###,35,,
EME,2,PICE_SPP_###,65,LARI_LAR_###,35,,
ENEN,,,,,,,
ENENPE,,,,,,,
ENPG,,,,,,,
EO,,,,,,,
EOEPN,,,,,,,
EOEPO,,,,,,,
EOPIR,,,,,,,
EOR,,,,,,,
EORES,,,,,,,
EPB,,,,,,,
EPE,2,PICE_SPP_###,65,POPU_SPP_###,35,,
EPG,2,PICE_SPP_###,65,PINU_BAN_###,35,,
EPH,,,,,,,
EPHEPL,,,,,,,
EPHEPN,,,,,,,
EPHF,,,,,,,
EPHPIG,,,,,,,
EPHPIR,,,,,,,
EPIG,,,,,,,
EPL,,,,,,,
EPLBOJ,,,,,,,
EPLCHR,,,,,,,
EPLEPH,,,,,,,
EPLEPN,,,,,,,
EPLEPO,,,,,,,
EPLF,,,,,,,
EPLFI,,,,,,,
EPLMEL,,,,,,,
EPLPE,,,,,,,
EPLPIB,,,,,,,
EPLPIG,,,,,,,
EPLPIR,,,,,,,
EPLPIS,,,,,,,
EPLR,,,,,,,
EPN,,,,,,,
EPNBOJ,,,,,,,
EPNE,,,,,,,
EPNEPH,,,,,,,
EPNEPL,,,,,,,
EPNEPO,,,,,,,
EPNF,,,,,,,
EPNFI,,,,,,,
EPNMEL,,,,,,,
EPNPG,,,,,,,
EPNPIB,,,,,,,
EPNPIG,,,,,,,
EPNPIR,,,,,,,
EPNR,,,,,,,
EPNSAB,,,,,,,
EPO,,,,,,,
EPOEPL,,,,,,,
EPOEPN,,,,,,,
EPOF,,,,,,,
EPOMEL,,,,,,,
EPOMEU,,,,,,,
EPOPE,,,,,,,
EPOPIB,,,,,,,
EPOPIG,,,,,,,
EPOPIR,,,,,,,
EPR,,,,,,,
EPU,,,,,,,
ER,,,,,,,
ERBB,,,,,,,
ERBJ,,,,,,,
ERBOJ,,,,,,,
EREPL,,,,,,,
ERFI,,,,,,,
ERFT,,,,,,,
ERPE,,,,,,,
ERPIB,,,,,,,
ERR,,,,,,,
ERSEPL,,,,,,,
ERSPIR,,,,,,,
ES,2,PICE_SPP_###,65,ABIE_PIC_###,35,,
ESAB,,,,,,,
FBOJ,,,,,,,
FEL,,,,,,,
FEPH,,,,,,,
FEPL,,,,,,,
FEPN,,,,,,,
FEPO,,,,,,,
FH,,,,,,,
FHR,,,,,,,
FI,1,HARD_INT_###,100,,,,
FIBB,,,,,,,
FIBBE,,,,,,,
FIBBPB,,,,,,,
FIBBPG,,,,,,,
FIBBR,,,,,,,
FIBBS,,,,,,,
FIE,,,,,,,
FIEPL,,,,,,,
FIEPN,,,,,,,
FIPB,,,,,,,
FIPE,,,,,,,
FIPED,,,,,,,
FIPEE,,,,,,,
FIPEPB,,,,,,,
FIPEPG,,,,,,,
FIPER,,,,,,,
FIPES,,,,,,,
FIPG,,,,,,,
FIPIG,,,,,,,
FIPIR,,,,,,,
FIR,2,HARD_INT_###,65,GENC_SPP_###,35,,
FIRES,,,,,,,
FIRZ,,,,,,,
FIS,,,,,,,
FMEL,,,,,,,
FNC,1,Hard nonc,100,,,,
FNFN,,,,,,,
FPIB,,,,,,,
FPIG,,,,,,,
FPIR,,,,,,,
FPIS,,,,,,,
FRP,,,,,,,
FT,,,,,,,
FTEPL,,,,,,,
FTEPN,,,,,,,
FTPB,,,,,,,
FTR,,,,,,,
FTRES,,,,,,,
FX,1,GENH_SPP_###,100,,,,
GBB,,,,,,,
GE,,,,,,,
GFI,,,,,,,
GG,,,,,,,
GME,,,,,,,
GPE,,,,,,,
GS,,,,,,,
ME,,,,,,,
MEC,,,,,,,
MEE,2,LARI_SPP_###,65,PICE_SPP_###,35,,
MEG,,,,,,,
MEH,,,,,,,
MEJEPL,,,,,,,
MEJMEL,,,,,,,
MEL,,,,,,,
MELEPL,,,,,,,
MELEPN,,,,,,,
MELEPO,,,,,,,
MELF,,,,,,,
MELPIG,,,,,,,
MELPIR,,,,,,,
MEME,1,LARI_SPP_###,100,,,,
MEPG,,,,,,,
MEPU,,,,,,,
MES,2,LARI_SPP_###,65,ABIE_PIC_###,35,,
MF,2,GENH_SPP_###,65,GENC_SPP_###,35,,
MR,2,GENC_SPP_###,65,GENH_SPP_###,35,,
MX,2,GENC_SPP_###,51,GENH_SPP_###,49,,
PB+BB,,,,,,,
PB+BJ,,,,,,,
PB+FI,,,,,,,
PB+FT,,,,,,,
PB+PE,,,,,,,
PB-BB,,,,,,,
PB-BJ,,,,,,,
PBC,,,,,,,
PBE,,,,,,,
PBEPL,,,,,,,
PB-FI,,,,,,,
PB-FT,,,,,,,
PBG,,,,,,,
PBPB,,,,,,,
PB-PE,,,,,,,
PBPG,,,,,,,
PBPR,,,,,,,
PBPU,,,,,,,
PBS,,,,,,,
PE,,,,,,,
PE1,,,,,,,
PE1E,,,,,,,
PE1PB,,,,,,,
PE1PG,,,,,,,
PE1R,,,,,,,
PE1S,,,,,,,
PEBB,2,POPU_SPP_###,65,BETU_PAP_###,35,,
PEBBE,,,,,,,
PEBBE,3,POPU_SPP_###,51,BETU_PAP_###,25,PICE_SPP_###,24
PEBBG,,,,,,,
PEBBPB,,,,,,,
PEBBPG,,,,,,,
PEBBR,3,POPU_SPP_###,51,BETU_PAP_###,25,GENC_SPP_###,24
PEBBS,3,POPU_SPP_###,51,BETU_PAP_###,25,ABIE_PIC_###,24
PEBP,,,,,,,
PEE,2,POPU_SPP_###,65,PICE_SPP_###,35,,
PEEPH,,,,,,,
PEEPL,,,,,,,
PEEPN,,,,,,,
PEEPO,,,,,,,
PEH,,,,,,,
PEPB,,,,,,,
PEPE,1,POPU_SPP_###,100,,,,
PEPEE,2,POPU_SPP_###,65,PICE_SPP_###,35,,
PEPEEN,,,,,,,
PEPEG,,,,,,,
PEPEPB,,,,,,,
PEPEPG,2,POPU_SPP_###,65,PINU_BAN_###,35,,
PEPEPR,,,,,,,
PEPER,2,POPU_SPP_###,65,GENC_SPP_###,35,,
PEPERX,,,,,,,
PEPES,2,POPU_SPP_###,65,ABIE_PIC_###,35,,
PEPG,,,,,,,
PEPIB,,,,,,,
PEPIG,,,,,,,
PEPIR,,,,,,,
PEPIS,,,,,,,
PEPR,,,,,,,
PER,,,,,,,
PERES,,,,,,,
PES,,,,,,,
PEU,,,,,,,
PG,,,,,,,
PGBB,,,,,,,
PGE,2,PINU_BAN_###,65,PICE_SPP_###,35,,
PGEN,,,,,,,
PGEPN,,,,,,,
PGFI,2,PINU_BAN_###,65,HARD_INT_###,35,,
PGME,,,,,,,
PGPB,,,,,,,
PGPE,,,,,,,
PGPG,1,PINU_BAN_###,100,,,,
PGPR,,,,,,,
PGS,,,,,,,
PIB,,,,,,,
PIBBOJ,,,,,,,
PIBEPL,,,,,,,
PIBEPN,,,,,,,
PIBF,,,,,,,
PIBPIG,,,,,,,
PIBPIR,,,,,,,
PIBPIS,,,,,,,
PIBR,,,,,,,
PIG,,,,,,,
PIGBB,,,,,,,
PIGE,,,,,,,
PIGEPH,,,,,,,
PIGEPL,,,,,,,
PIGEPN,,,,,,,
PIGEPO,,,,,,,
PIGF,,,,,,,
PIGFI,,,,,,,
PIGMEL,,,,,,,
PIGPE,,,,,,,
PIGPG,,,,,,,
PIGPIB,,,,,,,
PIGPIR,,,,,,,
PIGPIS,,,,,,,
PIGR,,,,,,,
PIGS,,,,,,,
PIR,,,,,,,
PIRBOJ,,,,,,,
PIRCHR,,,,,,,
PIREO,,,,,,,
PIREPL,,,,,,,
PIREPN,,,,,,,
PIREPO,,,,,,,
PIRF,,,,,,,
PIRFI,,,,,,,
PIRMEL,,,,,,,
PIRPE,,,,,,,
PIRPIB,,,,,,,
PIRPIG,,,,,,,
PIRPIS,,,,,,,
PIRR,,,,,,,
PIRS,,,,,,,
PIS,,,,,,,
PISEO,,,,,,,
PISEPH,,,,,,,
PISEPL,,,,,,,
PISF,,,,,,,
PISPIG,,,,,,,
PISPIR,,,,,,,
PISS,,,,,,,
PR+BB,,,,,,,
PR+FI,,,,,,,
PR-BB,,,,,,,
PRE,,,,,,,
PREPN,,,,,,,
PR-FI,,,,,,,
PRPB,,,,,,,
PRPG,,,,,,,
PRPIG,,,,,,,
PRPR,,,,,,,
PRS,,,,,,,
PUBJ-,,,,,,,
PUBJ+,,,,,,,
PUC,,,,,,,
PUE,,,,,,,
PUME,,,,,,,
PUPB,,,,,,,
PUPU,,,,,,,
PUS,,,,,,,
RBB,2,GENC_SPP_###,65,BETU_PAP_###,35,,
RBJ-,,,,,,,
RBJ+,,,,,,,
RC,,,,,,,
RE,2,GENC_SPP_###,65,PICE_SPP_###,35,,
REO,,,,,,,
REPL,,,,,,,
REPN,,,,,,,
RER,,,,,,,
RES,,,,,,,
RESBB,,,,,,,
RESEO,,,,,,,
RESFI,,,,,,,
RESME,,,,,,,
RESPE,,,,,,,
RFH,,,,,,,
RFI,2,GENC_SPP_###,65,HARD_INT_###,35,,
RFT,,,,,,,
RG,,,,,,,
RME,,,,,,,
RPB,,,,,,,
RPE,2,GENC_SPP_###,65,POPU_SPP_###,35,,
RPG,2,GENC_SPP_###,65,PINU_BAN_###,35,,
RPIG,,,,,,,
RPR,,,,,,,
RPU,,,,,,,
RS,2,GENC_SPP_###,65,ABIE_PIC_###,35,,
RX,1,GENC_SPP_###,100,,,,
RXSB,,,,,,,
SAB,,,,,,,
SABEPN,,,,,,,
SABF,,,,,,,
SB,,,,,,,
SBB,2,GENC_SPP_###,65,BETU_PAP_###,35,,
SBJ,,,,,,,
SC,2,ABIE_SPP_###,65,THUJ_OCC_###,35,,
SE,2,ABIE_SPP_###,65,PICE_SPP_###,35,,
SEPN,,,,,,,
SFI,2,ABIE_PIC_###,65,HARD_INT_###,35,,
SG,,,,,,,
SME,2,ABIE_SPP_###,65,LARI_LAR_###,35,,
SPB,,,,,,,
SPE,2,ABIE_PIC_###,65,POPU_SPP_###,35,,
SPG,,,,,,,
SPU,,,,,,,
SS,1,ABIE_SPP_###,100,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,

