rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notNull(src_filename);notNull(map_id);notNull(feature_id);notNull(ogc_fid),"padConcat({'bc09', src_filename, map_id, feature_id, ogc_fid}, {'4','15','10','10','7'}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,ORIG_STAND_ID,text,"notNull(feature_id);isInt(feature_id);isGreaterThan(feature_id, '0')",copyText(feature_id),Copies source value to ORIG_STAND_ID,TRUE
3,STAND_STRUCTURE,text,true(),copyText('S'),Copies value S to STAND_STRUCTURE,TRUE
4,NUM_OF_LAYERS,integer,true(),copyInt('1'),Copies value 1 to NUM_OF_LAYERS,TRUE
5,IDENTIFICATION_ID,integer,"notNull(inventory_standard_cd);matchList(inventory_standard_cd, {'F','V','I','L'})","mapInt(inventory_standard_cd, {'F','V','I','L'}, {'4','5','6','7'})",Maps source value to IDENTIFCATION_ID using list,TRUE
6,MAP_SHEET_ID,text,notNull(map_id),copyText(map_id),Copies source value to MAP_SHEET_ID,TRUE
7,CASFRI_AREA,double precision,"geoIsValid(wkb_geometry, TRUE)",geoArea(wkb_geometry),Validates geometry then calculates area,TRUE
8,CASFRI_PERIMETER,double precision,"geoIsValid(wkb_geometry, TRUE)",geoPerimeter(wkb_geometry),Validates geometry then calculates perimeter,TRUE
9,SRC_INV_AREA,double precision,"notNull(feature_area_sqm);isNumeric(feature_area_sqm);isGreaterThan(feature_area_sqm, '0')",copyDouble(feature_area_sqm),Copies source value to SRC_INV_AREA,TRUE
10,STAND_PHOTO_YEAR,integer,"notNull(reference_year);isInt(reference_year);isBetween(reference_year, '1900', '2020')",copyInt(reference_year),Copies source value to STAND_PHOTO_YEAR,TRUE
