rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notNull(src_filename);notNull(stdlab);notNull(ogc_fid),"padConcat({'nb02', src_filename, '', stdlab, ogc_fid}, {'4','15','10','10','7'}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,false(),nothingText(),Attribute does not occur,TRUE
3,STRUCTURE_PER,integer,false(),nothingInt(),Copies NULL integer code to STRUCTURE_PER,TRUE
4,LAYER,integer,true(),copyInt('1'),Copies 1 to LAYER,TRUE
5,LAYER_RANK,integer,true(),copyInt('1'),Copies 1 to LAYER_ID,TRUE
6,CROWN_CLOSURE_UPPER,integer,"notNull(l1cc);isNumeric(l1cc);matchList(l1cc,{'1','2','3','4','5'})","mapInt(l1cc, {'1','2','3','4','5'}, {'30','50','70','90','100'})",Maps source value to CROWN_CLOSURE_UPPER using lists of values,TRUE
7,CROWN_CLOSURE_LOWER,integer,"notNull(l1cc);isNumeric(l1cc);matchList(l1cc,{'1','2','3','4','5'})","mapInt(l1cc, {'1','2','3','4','5'}, {'10','31','51','71','91'})",Maps source value to CROWN_CLOSURE_LOWER using lists of values,TRUE
8,HEIGHT_UPPER,double precision,"notNull(l1ht);isNumeric(l1ht);isGreaterThan(l1ht,'0.1');isLessThan(l1ht, '100')",copyDouble(l1ht),Copies source value to HEIGHT_UPPER,TRUE
9,HEIGHT_LOWER,double precision,"notNull(l1ht);isNumeric(l1ht);isGreaterThan(l1ht,'0.1');isLessThan(l1ht, '100')",copyDouble(l1ht),Copies source value to HEIGHT_LOWER,TRUE
10,PRODUCTIVE_FOR,text,"notNull(fst);matchList(fst,{'1','2','3'})",nbi01_nb02_productive_for_translation(fst),"Custom helper funtion. Multiple options for this translation. See #181. Currently using fst approach where fst of 1 or 2 gives PF, and fst of 3 gives PP.",TRUE
11,SPECIES_1,text,"notNull(l1s1);notEmpty(l1s1);matchTable(l1s1, 'translation', 'nb_nbi02_species' )","lookupText(l1s1, 'translation', 'nb_nbi02_species', 'spec1', 'TRUE')",Maps source value to SPECIES_1 using lookup table,TRUE
12,SPECIES_PER_1,integer,"notNull(l1pr1);isNumeric(l1pr1);isBetween(l1pr1, '0', '100')",copyInt(l1pr1),Copies source value to SPECIES_PER_1,TRUE
13,SPECIES_2,text,"notNull(l1s2);notEmpty(l1s2);matchTable(l1s2, 'translation', 'nb_nbi02_species')","lookupText(l1s2, 'translation', 'nb_nbi02_species', 'spec2', 'TRUE')",Maps source value to SPECIES_2 using lookup table,TRUE
14,SPECIES_PER_2,integer,"notNull(l1pr2);isNumeric(l1pr2);isBetween(l1pr2, '0', '100')",copyInt(l1pr2),Copies source value to SPECIES_PER_2,TRUE
15,SPECIES_3,text,"notNull(l1s3);notEmpty(l1s3);matchTable(l1s3, 'translation', 'nb_nbi02_species')","lookupText(l1s3, 'translation', 'nb_nbi02_species', 'spec3', 'TRUE')",Maps source value to SPECIES_3 using lookup table,TRUE
16,SPECIES_PER_3,integer,"notNull(l1pr3);isNumeric(l1pr3);isBetween(l1pr3, '0', '100')",copyInt(l1pr3),Copies source value to SPECIES_PER_3,TRUE
17,SPECIES_4,text,"notNull(l1s4);notEmpty(l1s4);matchTable(l1s4, 'translation', 'nb_nbi02_species')","lookupText(l1s4, 'translation', 'nb_nbi02_species', 'spec4', 'TRUE')",Maps source value to SPECIES_4 using lookup table,TRUE
18,SPECIES_PER_4,integer,"notNull(l1pr4);isNumeric(l1pr4);isBetween(l1pr4, '0', '100')",copyInt(l1pr4),Copies source value to SPECIES_PER_4,TRUE
19,SPECIES_5,text,"notNull(l1s5);notEmpty(l1s5);matchTable(l1s5, 'translation', 'nb_nbi02_species')","lookupText(l1s5, 'translation', 'nb_nbi02_species', 'spec5', 'TRUE')",Maps source value to SPECIES_5 using lookup table,TRUE
20,SPECIES_PER_5,integer,"notNull(l1pr5);isNumeric(l1pr5);isBetween(l1pr5, '0', '100')",copyInt(l1pr5),Copies source value to SPECIES_PER_5,TRUE
21,SPECIES_6,text,false(),nothingText(),attribute does not occur,TRUE
22,SPECIES_PER_6,integer,false(),nothingInt(),attribute does not occur,TRUE
23,SPECIES_7,text,false(),nothingText(),attribute does not occur,TRUE
24,SPECIES_PER_7,integer,false(),nothingInt(),attribute does not occur,TRUE
25,SPECIES_8,text,false(),nothingText(),attribute does not occur,TRUE
26,SPECIES_PER_8,integer,false(),nothingInt(),attribute does not occur,TRUE
27,SPECIES_9,text,false(),nothingText(),attribute does not occur,TRUE
28,SPECIES_PER_9,integer,false(),nothingInt(),attribute does not occur,TRUE
29,SPECIES_10,text,false(),nothingText(),attribute does not occur,TRUE
30,SPECIES_PER_10,integer,false(),nothingInt(),attribute does not occur,TRUE
31,ORIGIN_UPPER,integer,"notNull(l1estyr);isInt(l1estyr);isBetween(l1estyr, '0', '2020')",copyInt(l1estyr),Copies (l1estyr) to ORIGIN_UPPER,TRUE
32,ORIGIN_LOWER,integer,"notNull(l1estyr);isInt(l1estyr);isBetween(l1estyr, '0', '2020')",copyInt(l1estyr),Copies (l1estyr) to ORIGIN_LOWER,TRUE
33,SITE_CLASS,text,false(),nothingText(),Attribute does not occur,TRUE
34,SITE_INDEX,double precision,false(),nothingDouble(),attribute does not occur,TRUE
